VOLTAGE,CURRENT,GAS,WIRESPEED
29.1,296.5,29.7,8.8
28.6,367.8,29.7,8.9
28.6,310.8,29.6,9.0
28.8,308.6,29.8,9.0
28.7,339.8,29.8,9.1
28.6,385.0,29.8,9.1
29.0,398.7,29.7,9.0
28.9,398.4,29.9,9.1
28.7,394.9,29.8,8.9
28.9,383.4,29.7,9.0
28.8,303.1,29.7,9.0
28.9,297.7,29.6,8.9
28.9,283.4,29.8,8.9
28.5,347.7,29.7,8.9
29.1,418.8,29.8,8.8
28.5,393.0,29.8,8.9
28.7,439.1,29.7,8.9
29.7,404.7,29.6,8.9
28.9,316.2,29.6,8.9
29.1,360.8,29.5,8.9
28.8,341.4,29.5,9.0
28.5,314.3,29.5,8.9
29.3,342.6,29.5,8.9
28.5,334.0,29.6,8.9
29.5,361.1,29.7,9.0
29.1,309.2,29.5,8.8
28.2,413.3,29.4,9.0
28.1,387.2,29.5,8.8
28.7,423.2,29.4,8.8
29.1,412.7,29.4,8.9
28.8,402.8,29.3,8.9
28.9,293.3,29.3,8.9
28.8,259.2,29.5,8.8
29.3,266.2,29.5,8.9
29.0,255.1,29.3,9.0
28.6,311.1,29.5,9.0
29.2,354.4,29.4,9.0
29.3,497.7,29.5,8.8
28.6,404.4,29.2,8.9
29.4,361.7,29.3,8.9
28.5,419.4,29.6,8.9
28.5,324.8,29.6,8.9
29.1,319.7,29.5,8.9
28.5,292.0,29.5,8.8
28.9,301.6,29.4,8.8
29.0,319.1,29.4,9.0
28.7,290.1,29.4,9.0
28.9,390.7,29.5,8.9
28.6,347.4,29.5,8.8
29.1,433.1,29.6,8.9
28.6,480.9,29.6,8.8
28.8,460.5,29.5,8.7
29.0,343.9,29.4,9.0
29.2,355.1,29.4,8.9
29.1,314.9,29.4,8.9
28.4,218.4,29.4,8.7
29.0,325.4,29.5,8.8
29.2,322.6,29.4,8.8
29.0,447.7,29.4,8.8
28.9,396.1,29.4,8.8
28.9,467.8,29.5,8.6
28.8,478.0,29.4,9.0
28.4,293.3,29.4,8.8
29.0,421.9,29.4,8.8
28.8,296.1,29.3,8.7
29.1,315.9,29.3,8.8
28.9,285.0,29.5,9.0
28.7,302.2,29.3,9.0
28.6,386.3,29.2,8.9
28.8,317.5,29.2,9.0
29.1,451.2,29.1,9.0
28.6,458.9,29.2,9.0
28.5,463.7,29.1,9.2
29.1,338.8,29.1,9.1
28.8,371.6,29.3,8.9
28.9,307.0,29.3,9.0
28.7,250.0,29.3,9.1
28.9,321.0,29.2,9.1
28.8,221.9,29.0,9.1
29.2,370.7,29.1,9.1
29.0,337.2,29.2,8.9
28.4,447.1,29.2,9.0
28.8,433.1,29.1,8.7
28.9,352.8,29.2,8.8
28.5,424.8,29.1,8.6
28.7,272.3,29.1,8.7
28.8,334.7,29.1,8.8
28.3,235.0,29.2,8.7
30.4,266.2,29.1,8.6
29.2,314.3,29.2,8.7
28.8,275.1,29.3,8.6
28.7,453.8,29.2,8.7
29.0,394.9,29.2,8.7
29.6,444.5,29.0,8.8
28.9,332.1,29.0,8.6
28.8,405.4,29.0,8.6
29.0,309.5,29.0,8.7
29.2,276.1,28.9,8.7
28.9,342.3,29.0,8.7
28.9,250.6,29.1,8.7
29.2,410.5,28.9,8.7
28.7,284.7,28.7,8.7
29.1,396.1,28.9,8.7
28.4,420.3,28.8,8.7
28.6,474.5,29.0,8.8
28.6,469.4,28.9,8.6
28.9,330.5,28.8,8.6
28.9,430.2,28.7,8.6
28.4,284.0,28.8,8.6
27.4,354.4,28.9,8.7
29.7,287.9,29.0,8.6
29.2,282.1,29.0,8.7
29.0,431.8,28.9,8.7
29.2,362.1,29.0,8.6
28.3,473.2,28.8,8.6
29.3,290.1,28.8,8.6
28.7,386.9,28.8,8.6
29.1,289.8,28.8,8.6
28.7,263.0,28.7,8.6
28.3,284.4,28.7,8.5
28.8,225.1,28.7,8.5
28.8,365.6,28.7,8.5
28.7,182.8,28.8,8.5
28.2,340.7,28.7,8.5
28.2,346.8,28.8,8.7
29.2,356.3,28.8,8.6
29.1,403.1,28.8,8.4
28.6,395.2,28.9,8.5
28.5,429.9,28.8,8.5
28.2,257.3,28.7,8.6
27.5,329.9,28.8,8.5
28.0,243.3,28.7,8.7
29.4,276.1,28.7,8.7
29.1,360.5,28.6,8.8
28.9,362.7,28.7,8.7
28.9,468.8,28.7,8.6
28.9,293.3,28.7,8.8
29.0,460.8,28.8,8.8
29.3,307.6,28.7,8.9
28.7,318.4,28.6,8.8
28.6,326.7,28.7,8.7
28.1,290.1,28.6,8.6
28.6,389.8,28.6,8.8
28.2,276.7,28.5,8.8
29.3,411.1,28.4,8.7
29.1,269.7,28.4,8.8
28.6,336.9,28.4,8.8
28.8,396.5,28.5,8.7
28.3,399.0,28.3,8.7
28.9,433.7,28.5,8.7
28.6,324.8,28.3,8.6
28.5,412.7,28.3,8.7
28.8,211.7,28.2,8.7
29.0,295.2,28.4,8.7
28.5,331.2,28.4,8.7
28.7,338.8,28.3,8.8
29.1,433.1,28.4,8.8
29.3,302.8,28.5,8.7
28.3,499.3,28.4,8.6
28.7,265.2,28.3,8.7
28.8,353.8,28.5,8.7
29.0,331.2,28.5,8.6
28.4,306.0,28.4,8.6
29.8,385.0,28.5,8.7
29.0,265.2,28.4,8.7
29.2,401.6,28.5,8.6
28.3,258.6,28.7,8.7
29.1,364.3,28.6,8.6
29.2,316.5,28.4,8.6
28.5,304.1,28.5,8.6
28.5,390.1,28.4,8.7
28.6,372.3,28.4,8.7
28.2,414.0,28.3,8.6
28.7,228.6,28.3,8.6
28.0,353.1,28.5,8.7
28.7,324.2,28.5,8.6
28.8,324.5,28.3,8.7
27.8,364.0,28.4,8.7
28.8,291.0,28.3,8.6
28.6,444.2,28.3,8.5
28.6,258.9,28.3,8.5
29.5,371.3,28.3,8.5
29.1,295.8,28.4,8.5
29.0,293.6,28.3,8.5
28.6,378.0,28.2,8.6
28.0,305.4,28.2,8.6
28.5,437.9,28.3,8.6
28.9,307.0,28.3,8.6
28.7,394.5,28.2,8.5
29.1,328.3,28.3,8.5
29.2,346.5,28.2,8.7
29.2,372.9,28.1,8.8
28.5,333.1,28.0,8.7
28.7,427.0,28.1,8.7
28.8,387.9,28.2,8.6
28.9,434.4,28.0,8.6
28.6,336.9,28.0,8.7
29.4,462.4,27.9,8.8
29.7,390.1,28.1,8.7
29.1,302.2,28.1,8.8
28.7,383.1,28.0,8.9
28.4,245.8,28.0,9.0
28.5,371.6,28.0,9.0
29.0,275.4,28.1,9.0
29.4,321.3,28.0,9.1
29.9,344.5,27.9,9.0
28.0,297.4,28.1,9.0
27.9,424.5,28.1,9.0
28.4,320.7,28.1,9.3
28.5,380.9,28.0,9.5
28.6,332.8,27.9,9.1
28.9,343.0,28.1,9.0
28.9,281.2,28.1,8.9
29.2,277.0,28.1,8.9
29.4,348.0,28.1,8.8
28.7,269.7,28.1,8.9
28.9,378.6,28.0,8.8
29.2,321.6,27.9,8.8
28.4,397.7,27.9,8.9
28.5,348.0,27.9,8.8
28.8,368.7,28.1,8.8
29.0,372.9,28.0,8.4
28.9,271.9,28.0,8.7
29.4,361.4,27.9,8.6
28.9,285.3,28.0,8.4
29.0,331.5,28.0,8.4
28.6,319.7,27.9,8.5
28.7,366.2,27.9,8.5
29.0,451.9,27.9,8.6
29.0,339.1,27.9,8.6
29.0,423.8,27.8,8.6
28.9,393.6,27.9,8.7
28.6,385.9,27.9,8.9
29.4,338.8,27.9,8.9
28.9,338.2,27.9,8.7
29.3,294.9,27.9,8.9
28.7,242.6,28.1,8.8
28.5,384.7,27.9,8.7
29.0,412.1,27.9,8.7
28.9,434.0,27.8,8.8
29.6,367.8,27.9,8.8
28.7,493.6,27.9,8.8
29.1,382.4,27.8,8.7
28.7,283.4,27.9,8.7
29.9,320.3,27.8,8.9
28.5,228.3,27.7,8.7
29.0,296.8,27.8,8.8
28.7,255.1,27.9,8.8
28.9,342.0,27.8,8.8
28.1,377.7,27.8,8.8
28.5,318.7,27.8,8.7
28.6,399.6,27.8,8.7
29.3,383.7,27.8,8.7
30.7,377.3,27.7,8.8
28.8,327.0,27.7,8.7
27.8,334.0,27.7,8.6
28.5,259.5,27.8,8.7
29.5,289.4,27.7,8.7
28.8,327.0,27.6,8.8
28.3,302.5,27.7,8.8
28.8,392.3,27.7,8.7
28.8,468.4,27.7,8.6
28.9,484.0,27.7,8.6
28.9,393.6,27.7,8.7
28.8,351.2,27.7,8.7
28.8,336.6,27.6,8.7
29.3,255.7,27.6,8.9
28.6,266.5,27.6,8.9
28.5,269.7,27.6,8.9
29.0,367.8,27.6,9.0
28.9,383.1,27.6,9.0
28.1,394.5,27.6,9.0
28.6,422.9,27.5,9.0
29.2,416.8,27.5,9.1
27.5,430.2,27.6,8.9
28.2,433.7,27.7,9.0
29.0,414.0,27.7,9.0
29.3,376.7,27.7,8.9
29.2,327.3,27.8,9.1
29.6,283.7,27.8,9.0
29.6,282.1,27.7,8.7
29.2,336.3,27.7,8.8
28.1,414.0,27.6,8.8
28.9,478.3,27.8,8.9
28.7,431.2,27.7,8.8
28.4,370.7,27.6,8.9
29.0,295.2,27.6,9.0
29.0,251.2,27.6,8.9
28.7,201.5,27.5,8.9
28.8,225.8,27.4,8.9
28.8,258.9,27.5,9.0
28.9,322.9,27.5,8.8
28.4,337.9,27.5,8.9
28.7,336.9,27.5,8.9
29.4,367.5,27.5,8.9
28.8,372.3,27.5,8.9
29.0,383.4,27.4,8.9
28.9,347.7,27.4,8.8
29.0,335.0,27.4,8.9
28.7,283.1,27.4,8.9
28.7,268.7,27.5,8.9
28.7,278.9,27.4,9.0
28.9,250.0,27.4,8.8
28.7,368.7,27.5,8.9
29.1,464.0,27.5,9.0
29.1,513.3,27.4,8.9
29.0,417.5,27.4,8.9
29.2,400.0,27.4,8.9
29.4,380.2,27.3,9.0
28.7,248.4,27.4,9.0
29.0,279.6,27.4,8.9
28.5,252.8,27.5,8.7
29.1,351.9,27.4,8.9
28.7,329.6,27.4,8.9
28.3,374.2,27.4,8.9
29.0,439.5,27.4,8.8
29.1,381.8,27.4,8.7
29.6,419.4,27.4,8.8
29.0,395.5,27.4,8.7
28.5,381.2,27.5,8.8
29.1,338.2,27.4,8.7
28.9,334.0,27.5,8.7
28.8,288.8,27.5,8.7
29.5,269.7,27.6,8.6
29.2,362.4,27.4,8.6
29.1,368.4,27.3,8.8
29.4,401.2,27.5,8.6
29.3,350.0,27.6,8.6
29.0,453.5,27.6,8.8
28.8,370.3,27.4,8.7
28.9,263.7,27.3,8.7
28.8,302.8,27.4,8.8
28.7,217.5,27.2,8.7
29.2,296.5,27.2,8.8
28.7,225.8,27.2,8.7
28.3,323.5,27.3,8.9
29.1,366.5,27.3,8.8
28.0,314.3,27.3,8.8
28.7,422.9,27.3,8.9
28.6,339.1,27.4,8.9
28.7,367.8,27.4,8.7
28.6,345.5,27.2,8.7
29.1,347.1,27.2,8.8
29.2,282.1,27.2,8.8
28.6,285.6,27.1,8.8
29.1,396.8,27.2,8.8
28.7,313.0,27.2,8.8
29.4,384.0,27.3,8.8
28.8,344.9,27.3,8.8
28.4,420.3,27.1,9.0
28.9,351.9,27.2,8.8
28.4,359.5,27.2,8.6
28.6,401.6,27.2,8.8
29.1,262.4,27.1,8.9
29.5,378.9,27.2,8.8
29.3,257.9,27.2,8.7
28.6,346.5,27.1,8.7
29.0,339.4,27.2,8.7
28.6,343.9,27.3,8.7
29.0,472.3,27.2,8.7
28.8,342.6,27.1,8.7
28.6,419.7,27.2,8.7
28.3,359.2,27.1,8.7
28.8,392.0,27.2,8.7
28.9,323.8,27.2,8.7
29.0,307.6,27.2,8.7
28.4,385.9,27.1,8.8
28.6,329.6,27.0,8.8
28.9,403.1,27.1,8.7
29.1,274.8,27.1,8.7
28.4,362.1,27.1,8.8
28.7,340.1,27.1,8.8
28.4,356.3,27.1,8.7
29.1,352.5,27.2,8.7
29.3,252.5,27.2,8.8
29.4,421.3,27.1,8.7
29.2,230.8,27.1,8.7
28.6,341.0,27.1,8.7
29.0,264.9,27.1,8.6
28.4,282.4,27.1,8.7
28.5,355.7,27.1,8.6
29.9,315.9,27.0,8.6
29.5,423.8,27.0,8.7
29.2,275.8,27.0,8.7
29.1,368.4,26.9,8.6
28.6,272.6,27.0,8.7
28.2,317.2,27.0,8.8
28.6,379.6,27.1,8.6
28.5,359.8,27.0,8.7
29.0,448.4,27.1,8.7
29.0,335.6,27.2,8.7
29.0,435.9,27.2,8.6
28.8,298.4,27.1,8.7
29.4,315.6,27.2,8.7
28.8,385.0,27.2,8.8
29.0,397.4,27.1,8.8
29.8,477.0,27.1,8.8
30.2,266.5,27.0,8.7
28.3,468.4,27.0,8.7
28.5,300.9,27.0,8.9
29.3,359.5,27.0,8.9
29.1,347.1,27.0,8.8
29.3,303.8,27.1,8.8
28.3,395.5,27.1,8.9
29.3,289.4,27.0,8.9
29.3,433.1,26.9,8.9
28.8,276.4,27.1,9.0
29.2,350.3,26.9,8.8
29.2,370.0,26.9,8.9
29.2,373.2,26.9,8.9
29.1,411.1,26.9,8.8
28.8,329.9,26.8,8.8
28.7,399.3,26.8,8.8
28.3,198.7,26.8,8.8
28.9,281.2,26.9,8.8
28.4,273.2,26.9,8.9
28.1,235.0,26.7,8.9
29.1,389.5,26.9,8.9
28.7,290.7,26.9,8.8
29.1,454.1,26.9,8.9
28.7,297.1,26.9,9.0
29.1,393.3,26.8,9.1
30.1,297.1,26.8,8.9
29.6,261.4,26.8,9.0
29.1,334.7,26.7,8.8
29.5,256.3,26.8,8.8
28.4,409.8,27.0,8.6
28.8,232.8,27.1,8.8
29.3,365.9,26.9,8.8
28.5,328.9,26.8,8.8
29.3,384.0,26.9,8.6
28.7,460.2,27.0,8.7
29.6,381.2,27.1,8.8
28.8,451.9,26.9,8.6
29.6,279.9,26.8,8.7
28.7,383.4,26.9,8.8
29.4,228.9,26.9,8.6
29.1,272.3,26.8,8.7
29.6,399.0,26.8,8.8
28.8,363.7,26.8,8.7
29.6,489.8,26.9,8.6
28.9,340.7,27.0,8.7
28.7,488.5,26.9,8.6
29.1,324.5,26.7,8.7
29.5,385.3,26.8,8.8
28.5,330.5,26.9,8.8
28.9,284.7,26.8,8.5
29.2,368.4,26.8,8.6
29.9,262.1,26.7,8.6
28.9,373.8,26.7,8.6
28.9,263.3,26.7,8.7
29.0,330.5,26.9,8.6
29.1,387.2,26.8,8.7
28.4,393.0,26.8,8.6
28.5,392.0,26.8,8.6
29.0,228.0,26.7,8.6
29.4,326.7,26.6,8.7
28.8,159.5,26.8,8.5
28.5,226.7,26.6,8.6
28.9,252.5,26.6,8.8
28.9,239.4,26.8,8.7
28.6,428.3,26.8,8.3
29.2,355.7,26.9,8.6
29.5,431.8,26.7,8.7
28.4,305.7,26.7,8.6
28.9,401.9,26.7,8.6
29.2,304.1,26.6,8.7
28.9,292.0,26.7,8.9
28.8,316.2,26.7,8.7
29.0,249.0,26.8,8.8
28.7,384.7,26.8,8.8
29.4,258.9,26.7,8.8
28.7,395.5,26.8,8.7
28.9,401.6,26.7,8.9
29.1,461.4,26.8,8.7
29.0,470.0,26.7,8.7
29.4,330.5,26.7,8.8
29.1,424.2,26.8,8.8
28.9,283.7,26.8,8.8
29.2,323.2,26.8,8.8
28.3,239.4,26.7,8.9
29.4,284.0,26.6,8.7
29.1,388.8,26.7,8.8
29.1,326.7,26.7,8.7
29.1,457.6,26.8,8.7
29.0,421.9,26.7,8.8
29.4,450.3,26.6,8.7
29.1,327.3,26.6,8.8
30.0,360.8,26.6,8.8
28.5,301.9,26.7,8.8
30.9,235.0,26.6,8.8
28.7,256.0,26.6,8.8
29.1,179.3,26.6,8.8
28.8,315.9,26.7,8.7
28.6,278.0,26.6,8.7
28.8,394.9,26.7,8.9
28.5,376.1,26.5,8.8
28.9,280.9,26.6,8.7
29.2,353.8,26.6,8.8
29.1,224.5,26.7,8.9
29.0,240.7,26.6,8.8
28.7,199.0,26.6,8.7
28.1,243.6,26.7,8.5
28.7,258.2,26.6,8.6
29.0,223.5,26.7,8.6
29.0,373.5,26.8,8.7
28.9,364.3,26.6,8.8
27.8,397.4,26.7,8.7
28.6,376.4,26.7,8.5
30.3,378.9,26.7,8.6
28.8,260.5,26.6,8.6
23.6,323.5,26.6,8.6
26.3,374.5,26.6,8.5
30.1,402.8,26.6,8.5
29.8,416.8,26.6,8.6
29.0,353.8,26.6,8.8
28.6,412.4,26.5,8.6
33.1,445.8,26.5,8.6
33.5,40.1,26.5,8.6
77.6,34.7,26.5,8.7
77.8,1.2,26.7,8.6
77.9,-1.3,26.6,8.6
78.0,-12.5,26.6,8.6
78.0,-59.3,26.5,8.6
78.0,-14.4,26.4,8.6
78.0,-26.2,26.5,8.7
78.0,-5.1,26.5,8.8
78.0,43.3,26.5,8.7
78.0,1.5,26.4,8.6
78.0,27.7,26.4,8.7
78.0,1.2,26.5,8.7
78.0,-16.6,26.5,8.8
78.0,8.2,26.5,8.9
74.8,488.2,26.5,9.1
5.8,280.5,26.5,8.9
8.6,481.5,26.3,8.9
21.5,229.3,26.3,8.8
18.7,64.9,26.5,8.9
17.6,97.1,26.5,8.7
17.6,101.5,26.6,8.2
17.1,100.9,26.6,7.9
7.3,214.3,26.6,7.4
24.0,280.5,26.6,7.1
25.5,265.9,26.7,6.7
26.6,274.2,26.6,5.1
26.8,288.2,26.5,6.1
27.6,262.4,26.5,6.0
28.2,278.9,26.6,6.2
28.7,294.9,26.6,6.3
28.7,340.7,26.5,6.6
28.9,341.0,26.6,6.9
29.3,377.3,26.6,7.2
28.9,379.6,26.7,7.5
29.2,351.9,26.5,7.8
28.9,278.0,26.5,8.0
28.8,270.0,26.5,8.1
29.3,248.4,26.4,8.2
28.8,305.1,26.4,8.3
29.1,336.3,26.3,8.5
28.7,345.5,26.5,8.7
28.7,379.9,26.6,8.7
28.7,367.5,26.4,8.6
28.8,331.8,26.4,8.5
29.0,313.0,26.3,8.7
28.4,300.0,26.4,8.8
28.6,318.7,26.3,8.8
28.9,381.2,26.4,8.8
29.3,330.2,26.4,8.8
29.0,390.4,26.4,8.8
29.2,351.9,26.5,8.8
29.0,300.9,26.3,8.8
28.7,369.1,26.3,8.9
29.2,395.5,26.3,9.0
29.3,419.4,26.2,8.9
29.0,391.7,26.4,8.8
29.3,356.6,26.4,8.8
28.9,332.8,26.4,8.8
28.3,265.2,26.3,8.8
29.1,334.7,26.4,8.8
29.3,309.5,26.4,8.8
29.2,327.3,26.4,8.8
29.3,335.9,26.3,8.9
28.8,356.0,26.4,8.8
28.8,347.1,26.4,8.7
28.6,290.7,26.4,8.8
28.8,326.1,26.4,8.8
28.9,294.9,26.4,8.8
28.9,361.7,26.4,8.9
29.0,318.1,26.4,8.8
28.7,395.8,26.3,8.8
29.1,329.9,26.3,8.8
28.7,319.4,26.4,8.8
28.9,371.6,26.4,8.7
29.3,285.9,26.3,8.7
28.7,328.3,26.3,8.8
28.9,363.3,26.3,8.8
29.6,431.8,26.3,8.7
28.9,353.5,26.4,8.8
28.9,325.1,26.3,8.6
28.9,427.0,26.2,8.8
29.5,327.0,26.3,8.7
29.8,393.9,26.4,8.7
28.9,367.8,26.3,8.8
28.6,387.5,26.3,9.0
28.9,343.0,26.2,8.9
28.8,334.4,26.3,8.9
28.6,400.3,26.3,8.9
28.8,285.0,26.3,8.8
29.1,401.9,26.3,8.8
28.3,368.1,26.3,8.8
30.2,450.6,26.3,8.9
29.5,383.7,26.3,8.9
29.7,376.7,26.3,9.0
28.5,394.9,26.3,8.8
31.2,308.6,26.4,8.8
29.0,344.2,26.2,8.9
28.8,281.8,26.2,9.0
28.8,303.5,26.4,8.8
29.1,304.7,26.5,8.8
29.2,356.6,26.5,8.8
28.8,387.5,26.3,8.9
28.2,281.8,26.4,8.8
29.3,418.8,26.3,8.9
28.7,358.6,26.4,8.9
28.7,340.7,26.3,8.9
29.1,250.6,26.3,8.9
28.5,265.9,26.3,9.0
28.8,324.5,26.3,8.8
28.6,225.4,26.4,8.8
29.1,371.6,26.4,8.9
29.2,290.7,26.3,9.0
29.0,430.9,26.1,8.8
29.5,338.5,26.2,8.9
29.6,390.1,26.2,9.0
28.6,372.3,26.2,8.9
28.4,324.8,26.2,8.9
28.9,383.7,26.2,9.0
29.2,272.3,26.3,8.9
29.5,349.3,26.3,8.9
28.5,282.1,26.4,9.0
28.8,354.4,26.0,9.1
29.7,394.9,26.1,9.1
29.2,392.6,26.2,9.0
29.2,465.9,26.1,9.0
28.8,390.4,26.1,8.9
29.1,471.6,26.1,9.1
29.1,279.6,26.3,8.9
29.3,315.9,26.2,8.9
28.6,300.6,26.1,8.8
31.1,255.4,26.2,8.9
29.8,393.6,26.2,8.8
29.5,254.4,26.3,8.9
28.8,447.4,26.3,8.9
28.9,327.0,26.3,8.9
28.7,421.0,26.3,8.9
28.8,391.0,26.2,8.9
29.4,372.9,26.2,8.7
29.2,385.6,26.2,8.7
29.4,274.2,26.3,8.6
29.4,334.7,26.2,8.5
29.2,212.7,26.3,8.6
29.0,271.9,26.3,8.7
29.4,296.5,26.2,8.5
28.8,351.6,26.3,8.6
28.7,416.5,26.3,8.4
29.3,350.9,26.4,8.6
28.8,458.9,26.2,8.6
28.8,233.4,26.2,8.6
28.3,314.6,26.3,8.6
28.8,231.5,26.2,8.7
29.0,230.8,26.1,8.6
29.3,340.7,26.1,8.7
28.4,249.0,26.1,8.8
28.7,468.1,26.2,8.8
28.8,294.2,26.2,8.8
29.1,444.2,26.2,8.8
29.5,379.9,26.3,8.8
29.1,393.6,26.3,8.7
29.0,392.3,26.2,8.6
28.8,334.0,26.2,8.6
28.9,383.7,26.1,8.9
29.2,244.2,26.2,8.7
29.0,352.5,26.1,8.6
29.0,260.1,26.1,8.7
28.7,306.6,26.2,8.9
29.0,445.2,26.2,8.9
28.7,546.8,26.3,8.8
29.1,521.3,26.1,8.8
29.4,348.4,26.2,8.8
29.1,486.9,26.2,8.9
29.5,340.7,26.1,8.9
28.5,287.9,26.1,8.9
28.6,299.3,26.1,9.0
28.6,270.3,26.1,8.9
28.9,431.5,26.1,8.8
28.4,278.9,26.2,8.8
30.2,482.8,26.1,8.9
29.7,331.2,26.1,8.9
28.7,403.1,26.1,8.8
29.3,400.9,26.1,8.8
28.6,339.8,26.2,8.9
